Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_47_264,VPWR,li1,127.6500,138.7200,1.799944
FILLER_47_261,VPWR,li1,126.2700,138.7200,1.799944
FILLER_47_258,VPWR,li1,124.8900,138.7200,1.799945
FILLER_47_255,VPWR,li1,123.5100,138.7200,1.799945
FILLER_47_252,VPWR,li1,122.1300,138.7200,1.799945
FILLER_47_249,VPWR,li1,120.7500,138.7200,1.799945
FILLER_47_246,VPWR,li1,119.3700,138.7200,1.799946
FILLER_47_243,VPWR,li1,117.9900,138.7200,1.799946
FILLER_47_240,VPWR,li1,116.6100,138.7200,1.799946
FILLER_47_237,VPWR,li1,115.2300,138.7200,1.799947
FILLER_47_234,VPWR,li1,113.8500,138.7200,1.799947
FILLER_47_231,VPWR,li1,112.4700,138.7200,1.799947
FILLER_47_228,VPWR,li1,111.0900,138.7200,1.799947
FILLER_47_225,VPWR,li1,109.7100,138.7200,1.799947
FILLER_47_223,VPWR,li1,108.3300,138.7200,1.799948
FILLER_47_220,VPWR,li1,107.4100,138.7200,1.799948
FILLER_47_217,VPWR,li1,106.0300,138.7200,1.799948
FILLER_47_214,VPWR,li1,104.6500,138.7200,1.799948
FILLER_47_211,VPWR,li1,103.2700,138.7200,1.799949
FILLER_47_208,VPWR,li1,101.8900,138.7200,1.799949
FILLER_47_205,VPWR,li1,100.5100,138.7200,1.799949
FILLER_47_202,VPWR,li1,99.1300,138.7200,1.799950
FILLER_47_199,VPWR,li1,97.7500,138.7200,1.799950
FILLER_47_196,VPWR,li1,96.3700,138.7200,1.799950
FILLER_47_193,VPWR,li1,94.9900,138.7200,1.799951
FILLER_47_190,VPWR,li1,93.6100,138.7200,1.799951
FILLER_47_187,VPWR,li1,92.2300,138.7200,1.799951
FILLER_47_184,VPWR,li1,90.8500,138.7200,1.799951
FILLER_47_181,VPWR,li1,89.4700,138.7200,1.799952
FILLER_47_178,VPWR,li1,88.0900,138.7200,1.799952
FILLER_47_175,VPWR,li1,86.7100,138.7200,1.799953
FILLER_47_165,VPWR,li1,82.1100,138.7200,1.799954
FILLER_47_162,VPWR,li1,80.7300,138.7200,1.799954
FILLER_47_159,VPWR,li1,79.3500,138.7200,1.799955
FILLER_47_156,VPWR,li1,77.9700,138.7200,1.799956
FILLER_47_153,VPWR,li1,76.5900,138.7200,1.799956
FILLER_47_150,VPWR,li1,75.2100,138.7200,1.799957
FILLER_47_147,VPWR,li1,73.8300,138.7200,1.799958
FILLER_47_144,VPWR,li1,72.4500,138.7200,1.799958
FILLER_47_141,VPWR,li1,71.0700,138.7200,1.799959
FILLER_47_132,VPWR,li1,66.7000,138.7200,1.799961
FILLER_47_129,VPWR,li1,65.5500,138.7200,1.799961
FILLER_47_116,VPWR,li1,59.5700,138.7200,1.799965
FILLER_47_113,VPWR,li1,58.1900,138.7200,1.799967
FILLER_47_111,VPWR,li1,56.8100,138.7200,1.799967
FILLER_47_95,VPWR,li1,49.6800,138.7200,1.799971
FILLER_47_57,VPWR,li1,32.2000,138.7200,1.799983
FILLER_47_45,VPWR,li1,26.6800,138.7200,1.799986
FILLER_47_42,VPWR,li1,25.5300,138.7200,1.799988
FILLER_47_6,VPWR,li1,8.7400,138.7200,1.799988
FILLER_47_3,VPWR,li1,7.5900,138.7200,1.799988
FILLER_46_305,VPWR,li1,146.5100,138.7200,1.799944
FILLER_46_302,VPWR,li1,145.1300,138.7200,1.799944
FILLER_46_299,VPWR,li1,143.7500,138.7200,1.799944
FILLER_46_296,VPWR,li1,142.3700,138.7200,1.799944
FILLER_46_293,VPWR,li1,140.9900,138.7200,1.799944
FILLER_46_290,VPWR,li1,139.6100,138.7200,1.799944
FILLER_46_287,VPWR,li1,138.2300,138.7200,1.799944
FILLER_46_256,VPWR,li1,123.7400,138.7200,1.799945
FILLER_46_253,VPWR,li1,122.5900,138.7200,1.799945
FILLER_46_250,VPWR,li1,120.9800,138.7200,1.799945
FILLER_46_247,VPWR,li1,119.8300,138.7200,1.799945
FILLER_46_244,VPWR,li1,118.4500,138.7200,1.799946
FILLER_46_241,VPWR,li1,117.0700,138.7200,1.799946
FILLER_46_238,VPWR,li1,115.6900,138.7200,1.799946
FILLER_46_235,VPWR,li1,114.3100,138.7200,1.799947
FILLER_46_232,VPWR,li1,112.9300,138.7200,1.799947
FILLER_46_229,VPWR,li1,111.5500,138.7200,1.799947
FILLER_46_226,VPWR,li1,110.1700,138.7200,1.799947
FILLER_46_223,VPWR,li1,108.7900,138.7200,1.799948
FILLER_46_220,VPWR,li1,107.4100,138.7200,1.799948
FILLER_46_212,VPWR,li1,103.2700,138.7200,1.799949
FILLER_46_209,VPWR,li1,102.3500,138.7200,1.799949
FILLER_46_206,VPWR,li1,100.9700,138.7200,1.799949
FILLER_46_203,VPWR,li1,99.5900,138.7200,1.799949
FILLER_46_200,VPWR,li1,98.2100,138.7200,1.799950
FILLER_46_197,VPWR,li1,96.8300,138.7200,1.799950
FILLER_46_195,VPWR,li1,95.4500,138.7200,1.799950
FILLER_46_192,VPWR,li1,94.5300,138.7200,1.799951
FILLER_46_161,VPWR,li1,80.0400,138.7200,1.799955
FILLER_46_158,VPWR,li1,78.8900,138.7200,1.799955
FILLER_46_155,VPWR,li1,77.5100,138.7200,1.799956
FILLER_46_152,VPWR,li1,76.1300,138.7200,1.799957
FILLER_46_149,VPWR,li1,74.7500,138.7200,1.799957
FILLER_46_141,VPWR,li1,70.6100,138.7200,1.799959
FILLER_46_110,VPWR,li1,56.5800,138.7200,1.799967
FILLER_46_104,VPWR,li1,54.0500,138.7200,1.799968
FILLER_46_93,VPWR,li1,48.9900,138.7200,1.799971
FILLER_46_85,VPWR,li1,44.8500,138.7200,1.799975
FILLER_46_81,VPWR,li1,43.4700,138.7200,1.799976
FILLER_46_78,VPWR,li1,42.0900,138.7200,1.799976
FILLER_46_74,VPWR,li1,39.7900,138.7200,1.799977
FILLER_46_71,VPWR,li1,38.8700,138.7200,1.799979
FILLER_46_68,VPWR,li1,37.4900,138.7200,1.799979
FILLER_46_53,VPWR,li1,30.5900,138.7200,1.799985
FILLER_46_50,VPWR,li1,29.2100,138.7200,1.799985
FILLER_46_47,VPWR,li1,27.8300,138.7200,1.799986
